Order_ID,Customer_ID,Order_Date,Restaurant_ID,Restaurant_Name,Cuisine_Type,Order_Amount,Delivery_Fee,Total_Amount,Payment_Method,Discount_Amount,Order_Status,Delivery_Time,Customer_Rating,City,Restaurant_Rating,Number_of_Items,Order_Type
917472bf-23f9-4556-96ea-4ac4aab5fdb2,41534da8-eb04-4190-81fa-e4fcf4af0c2c,2024-06-18 15:36:54,80f0b639-4e4f-4e12-b5ea-b788628aae04,Nguyen PLC,Mexican,337.66,16.06,353.72,Debit Card,41.48,Completed,44,1,Hyderabad,4.4,10,Delivery
6e6fc6bd-b379-4a40-882e-43ba59139eb3,c1ea8fe0-e72a-4c77-859b-3388f09b936e,2024-07-01 00:25:34,70021441-a974-4705-be9a-2d1cfc439094,"Wheeler, Gonzalez and Newman",Mexican,941.06,23.56,964.62,Debit Card,38.05,Completed,53,4,Mumbai,2.7,3,Takeaway
0e1982dd-d1a7-4caf-854b-46735bcaf821,76e9e600-894b-439b-bf1b-4cef750c97fb,2023-11-19 21:15:28,b9baa1cc-2e63-4cf7-86da-ca9e9b1dadb2,"Chang, White and Walker",Chinese,701.35,19.32,720.67,Cash,29.77,Cancelled,50,5,Mumbai,2.6,6,Dine-in
25b3b30b-7ca0-4476-8a19-ef3ca6c1ce63,d112fc3e-04a4-44f8-8d93-be38bbd27919,2024-05-21 02:48:23,1920df91-5fdf-4885-b442-d98dbe4e1313,Rios Ltd,Indian,937.46,46.4,983.86,UPI,63.58,Failed,34,4,Mumbai,4.1,8,Takeaway
2f40d4bb-91a4-44f4-b881-f735eca503ee,3bdf2ab4-b182-48c1-a7e1-401091c45490,2024-05-28 00:03:32,57edcdcc-5dec-42e1-83ae-feb5ed5727b5,Curry and Sons,Chinese,187.83,49.34,237.17,Cash,62.42,Cancelled,33,1,Hyderabad,4.3,10,Takeaway
33be3ce3-340a-4270-b4c6-f34782c354c6,3c9f1e94-8324-46e4-9ae4-67643f535134,2024-05-19 03:11:58,747bef51-2b7d-445c-a1cf-dbbd8c622cb5,Jones and Sons,Italian,754.74,48.16,802.9,Cash,15.05,Cancelled,36,3,Hyderabad,3.6,9,Delivery
43c83b47-4641-4c1d-b92c-db5d84118053,95d233d5-fc2d-4c93-ad1e-72193e00c8f2,2024-04-16 21:57:02,2ce00f42-5a54-4e06-a491-4aa76839fbf8,"Mcdowell, Brown and Henry",Mexican,732.98,22.51,755.49,Credit Card,3.46,Failed,61,4,Hyderabad,3.2,10,Delivery
d9f3b7e8-3963-4851-b61c-aa52c7b4b56a,816fd0ba-c6f6-4bd0-8c7e-bffbf08583d8,2023-12-04 15:53:11,de614d6b-cec2-4173-83c0-e442c5ef09fd,"Holloway, Dominguez and Andrews",Thai,640.56,48.68,689.24,Credit Card,52.02,Cancelled,50,4,Bangalore,2.9,8,Delivery
36e2fff2-9529-4f21-88f3-128241b46473,1d039dd7-b399-4287-ae8c-8caa97ef6c09,2024-01-28 18:27:58,b72bed59-f064-44c6-8f6c-4f5416dbfa5c,Fox LLC,Thai,147.42,24.1,171.52,Debit Card,94.67,Cancelled,29,2,Delhi,2.7,7,Takeaway
132868a5-6a59-4320-abfc-c09969df1f0c,42af1000-32e2-4c91-a213-73f37f92a999,2023-12-22 19:25:50,0d7c5ebd-5534-49b6-b62b-7fe0be08a48c,Davis-Bass,Chinese,620.78,39.91,660.69,Credit Card,41.16,Failed,88,1,Kolkata,4.5,5,Takeaway
8f674ac9-f4e3-451c-b396-592dfd2c4a05,c4f87246-a70c-4d0f-926d-ad1796f5654a,2024-04-22 09:57:39,f64a321c-5d24-4767-a0f5-c252ba9dad86,Carr and Sons,Japanese,828.57,19.18,847.75,UPI,99.01,Failed,59,3,Chennai,3,6,Takeaway
37fed8f4-2cef-430d-a3ba-510bc0553a61,032d02ae-531b-4b5c-9bf7-e8ebc7797ee2,2023-11-05 09:40:05,9b96516e-18cb-43ee-a6b3-e5c8486a2462,"Chung, Kaufman and Joseph",Chinese,716.2,24.65,740.85,Cash,45.83,Cancelled,69,3,Kolkata,2.9,8,Takeaway
eac5ce4f-606b-479d-b123-289f7fd0d36a,00e8c071-609a-4d97-819f-4e4ba77cc39f,2024-06-13 12:26:16,23852105-3270-478f-a1c8-5230547eecb4,Lee-Perez,Italian,258.73,19.19,277.92,Debit Card,17.15,Cancelled,57,4,Delhi,4.2,7,Dine-in
c000ed74-a2fd-4526-a830-e2302197a5bb,170a8016-adf5-4b15-9db3-659e81d8e098,2024-09-08 19:42:17,2f189b3f-7bd6-41e5-a1fc-03d15935400b,Mitchell Ltd,Mexican,974.88,38.02,1012.9,Debit Card,33.51,Cancelled,49,3,Mumbai,2.5,8,Dine-in
c120ad22-3193-4995-89a4-cae888172081,b736c365-0999-4664-b331-6df5a9d27506,2023-10-19 07:10:37,782e29c1-1d92-430b-991a-5ce73fe71021,Hampton Inc,Chinese,716.18,18.79,734.97,UPI,62.1,Completed,59,5,Bangalore,3.6,4,Takeaway
22383997-c162-4484-9d45-a7a811443657,b79401ed-0a2e-4462-a5f6-0cce8905e1f8,2024-02-21 06:29:04,0c9d0e01-7178-4d87-9f22-7251b8070a08,Stark PLC,Japanese,225.49,15.45,240.94,Debit Card,66.37,Cancelled,19,1,Bangalore,4.2,4,Delivery
6a6cdee9-7d73-43e5-9901-84001ccd06cd,27fc3e93-0f7a-4e36-9bae-fe291d1983b7,2024-06-05 21:11:47,5f2fb394-8f3f-49b9-8e49-4fdd12fb6c2b,Martin Group,Indian,715.37,40.8,756.17,Credit Card,12.85,Completed,87,5,Bangalore,3.6,3,Takeaway
8bfd9146-defe-484a-a52d-3b158220bb08,5c4bd6e9-7485-4777-82dc-3d4fe02a2800,2023-10-14 02:02:46,135642e9-68a9-4e9d-a30e-3f28b954e612,Mitchell-Nguyen,Indian,222.75,24.57,247.32,Credit Card,9.73,Cancelled,67,3,Hyderabad,2.8,5,Dine-in
1d827bb9-643d-4e0d-a6d5-ce9f87fee995,92f18db9-5910-476d-ad5d-7b462a2ee205,2024-03-06 20:07:54,1b3b885d-1021-4849-a228-2c844572d045,"Martin, Johnson and Austin",Mexican,215.14,11.07,226.21,Cash,32.56,Failed,74,2,Mumbai,4.2,10,Takeaway
3929965b-44b8-4177-9493-7b791dce5e3d,9c2cfb7b-d2fb-416f-93e1-85db9d9bf416,2024-07-20 23:11:37,74c68ac2-980f-4dbb-9c7b-a6cce8322194,Cook-Maldonado,Japanese,336.25,21.13,357.38,UPI,54.43,Completed,53,4,Delhi,2.5,8,Takeaway
bec12962-5823-4b6e-9275-9eed78416117,28abfa2e-f6d3-4caa-923f-4856af7567b7,2024-08-12 12:24:43,5beb201b-639a-4b1e-9bc8-488d54909281,"Sanders, Mayo and Powell",Italian,492.56,34.94,527.5,Cash,96.4,Completed,57,2,Mumbai,4.8,7,Delivery
996c93da-7f7a-4e53-8b0c-d9065213b357,7bad96e0-e0b4-4697-aeb4-5fa712187e48,2024-02-09 14:18:02,2d7ec5c9-0a39-412c-8966-c56a65be782c,Payne-Bell,Indian,116.63,24.24,140.87,Debit Card,44.89,Cancelled,65,5,Mumbai,4.4,2,Takeaway
f07e87ab-8248-48f1-97b5-fc1171f52d57,46b88dae-1fee-4ed5-99e8-61d53f2d716b,2024-05-19 02:53:40,d80e4a97-1449-4b99-a404-9bc81f782f3e,Pena-Rhodes,Mexican,956.71,11.28,967.99,UPI,91.48,Completed,87,2,Delhi,3.7,4,Dine-in
92f33a62-712f-40b3-9be0-2208b32155d8,2d2f2f15-8b91-4d2c-bfcc-9eb96995f440,2024-04-07 21:51:26,7589b6c2-6694-4680-a8b6-7cc142a06bfa,Hill Ltd,Japanese,761.94,35.66,797.6,Credit Card,49.83,Completed,16,4,Hyderabad,3.1,10,Delivery
016e3c83-104a-4d62-948d-6b9380404969,ee7108a4-bff6-48dc-9bf0-d604f00c2d91,2023-11-01 05:17:48,c91996d2-eb17-4f46-a302-453b0f8aab5a,Williams Inc,Thai,792.52,48.08,840.6,Debit Card,10.86,Completed,72,2,Hyderabad,3.1,9,Delivery
7f22c67f-ec68-4fb4-8277-22940cce8a5c,56d91159-bced-4e4c-9c10-9c12a4c523c8,2024-01-11 22:20:13,1b072b25-ffef-412a-9ef2-4d86d4507b3d,Fitzpatrick-Newton,Mexican,327.89,21.71,349.6,Debit Card,5.4,Completed,29,4,Bangalore,3.4,9,Dine-in
046b479d-35a6-4e32-a9a0-345ed23f3b39,459a4e74-1cc6-4420-a328-177451823068,2023-09-26 07:33:24,fb086dab-dc85-4b8c-a6a4-4926d5763745,Green and Sons,Japanese,638.94,48.01,686.95,Credit Card,95.04,Cancelled,77,2,Kolkata,3,6,Dine-in
3dbc0273-6e13-4053-97de-9812a8cf2936,643d6ebe-b0df-44fe-893d-a36239729c28,2024-03-05 05:07:30,6c57f00e-faad-446f-be15-d0ab161e99ca,"Delacruz, Andrade and Nichols",Italian,244.76,12.82,257.58,Cash,49.65,Cancelled,60,4,Hyderabad,4.7,2,Dine-in
be3ed17a-ef88-4cef-bd07-e2187b1bdca8,51280984-51ba-4464-bc59-27b626e47ec3,2024-01-05 02:49:36,1317a04d-16c0-455a-b4f6-0285a7e4994b,Chang Group,Japanese,445.68,46.81,492.49,Cash,21.93,Failed,53,3,Mumbai,3.5,2,Dine-in
764edc81-a345-4f80-9763-87a73859ed5e,53015592-5af6-4038-b428-afe0dd1fcab4,2024-09-13 14:37:36,a472f47e-6a4c-4396-87d2-15325399da9d,Garrison-Bennett,Thai,632.67,41.59,674.26,Debit Card,91.96,Failed,52,1,Chennai,2.9,2,Delivery
4abe3d48-d690-496f-a33f-262ed4b5fee9,4a1a103f-ea58-42dc-8f95-eb4a8005a321,2023-11-19 04:19:21,18f68cf9-9f97-4e0d-b317-087cdd885720,Gonzales-Brown,Indian,131.84,17.94,149.78,Credit Card,15.18,Completed,16,4,Delhi,4.2,9,Takeaway
cf98e4f6-20f2-4982-af40-1bfa944209f6,4eb83345-64f9-4f55-aadb-33ccf50d7ca6,2024-02-21 04:22:33,a3cde92a-6a62-4b90-a83e-e4aaadcea9e2,Morgan Inc,Indian,464.48,25.28,489.76,Cash,0.33,Failed,49,3,Mumbai,4.7,9,Dine-in
51641718-e014-4e64-88ab-559f6d8560a3,776a3cbb-fef2-407c-9ae5-5fc607c5c426,2024-02-29 02:50:55,30450d48-4c4c-461d-9421-54ac9668ffc2,Clayton-Navarro,Thai,736.73,17.99,754.72,Cash,66.81,Cancelled,21,5,Chennai,3,1,Takeaway
a1e2b159-39b3-404d-8be6-47d0a43bb329,81fbd727-1ee3-48aa-8ca6-5cb7f57099e2,2023-12-10 05:53:55,2946d812-091c-4b61-8cf6-5590537ed5b6,"Ruiz, White and Zavala",Mexican,786.82,39.31,826.13,UPI,98.3,Cancelled,79,2,Hyderabad,4.4,3,Dine-in
b33d0434-3e63-4a27-8c4e-42543a55db4d,f7d2b8f0-a8a9-4d82-9054-ea0f473935f9,2024-05-01 15:43:41,f4f6284d-b193-45ae-bc11-8acf4a586add,Miller-Arias,Italian,499.24,29.59,528.83,Cash,90.87,Completed,58,4,Kolkata,3.5,2,Delivery
c5952959-96e5-49e3-aade-7b3a67c03ddb,ba7bcb24-216f-4da0-aaa1-40882749556b,2024-08-04 09:19:13,26e41a1a-ed98-4f26-9936-5a41a23aa941,Powers and Sons,Indian,320.35,13.15,333.5,Credit Card,30.82,Completed,61,2,Mumbai,4.6,7,Dine-in
0c1be143-586c-4e0e-87db-c220b03bf392,e4e8f4f7-a769-41de-aa42-1a443bb92def,2023-12-06 11:49:00,6e89d365-12d1-4c10-9c71-e7cb29eb9ab0,White Ltd,Thai,995.85,41.88,1037.73,Debit Card,59.58,Completed,53,3,Bangalore,3,2,Takeaway
2b069309-1c55-43ae-9d50-b7105df99b30,6a0abedb-43a0-4a1d-8dbd-8aabd0bd66fd,2023-12-12 12:12:24,9b459c1b-372a-4836-9224-dfff2c6322ec,Rodriguez-Williams,Italian,542.37,11.77,554.14,Cash,96.36,Cancelled,84,1,Chennai,4.6,5,Dine-in
0af02b1e-22b1-43ae-83e4-b7a6e79cba29,e2c8c994-736c-4887-9e48-0cdf317efd92,2024-06-13 06:41:55,533dfcb5-4ac4-47ab-a739-4a605bc8d89c,Miller Group,Chinese,472.18,47.75,519.93,Credit Card,93.66,Cancelled,47,5,Hyderabad,2.6,3,Takeaway
8e7da57f-a27b-41b0-b2e3-89843e985f3f,52ac48ca-8f69-4837-836a-eaeca5efbd49,2024-07-06 12:50:32,a054a106-8ccd-4807-a411-215e7689601a,Bradshaw Ltd,Thai,360.63,42.62,403.25,UPI,39.71,Failed,26,2,Hyderabad,4,2,Takeaway
5434bb52-e242-44fc-9da4-9eb507c75861,cf66f260-d14e-4542-9c25-dc821be33917,2024-01-19 23:30:35,6d6948c3-26a1-487a-9baa-fce13cf6f69e,Chan Inc,Thai,846.3,22.66,868.96,UPI,43.79,Failed,57,3,Delhi,4.4,1,Dine-in
3b5977db-ce7d-48e9-bd66-b874a49b91e9,3269b0de-4038-4a28-8091-4ef7aba059d6,2024-03-15 05:53:24,9f0948fa-0224-42a3-aec9-47f4626ec9f5,"Roberts, Norris and Mcdonald",Japanese,638.39,34.84,673.23,UPI,8.07,Cancelled,49,3,Bangalore,2.8,1,Takeaway
696d0394-0050-4836-b666-24de2d84855b,6bd2e0b6-b718-47cc-af3c-6a266331ce5b,2024-07-24 11:10:32,69d0d670-05be-4283-a17e-9dd64c50e285,Cervantes PLC,Chinese,584.07,23.24,607.31,Credit Card,14,Completed,34,5,Kolkata,2.7,9,Delivery
1c464397-383a-4181-aa0e-b59898363f20,f5c2326f-56eb-4c2e-8ba0-5a0570920382,2023-09-29 04:07:15,a48f7808-1c81-43d4-969f-b12b08d6f6c3,James-Kim,Italian,392.8,34.57,427.37,Cash,4.48,Completed,24,2,Delhi,3.6,3,Dine-in
61960d0d-12fe-4b41-9228-06ec05a957cb,250ef440-4a34-44e7-b22f-c06e5585839a,2024-06-20 07:07:09,4ebdaca5-141d-4d5f-9e83-74fe3cb598d2,"Gonzalez, Reed and Gilbert",Mexican,353.03,17.52,370.55,Debit Card,49.99,Failed,53,2,Kolkata,3.8,2,Dine-in
b8a3d07c-adae-4acf-bffe-c99c29d8bd5e,d50d2bf7-dc2d-4bee-9e99-6a0462de9839,2024-05-02 16:18:11,6a88c707-9874-4118-a3e2-a58ebc765a50,Gross-Forbes,Indian,413.05,11.88,424.93,Debit Card,72.01,Completed,15,3,Hyderabad,2.9,9,Takeaway
eb999c6b-1ccb-4039-b234-e2e503c43bb6,1c03083f-5d45-4976-95dc-a6971536963b,2024-01-13 12:54:46,bf7af098-d6ee-4172-9be3-dd633cb9f130,Santana-Christensen,Japanese,141.69,34.27,175.96,Credit Card,37.56,Cancelled,66,5,Delhi,2.7,10,Delivery
83489bef-01f1-4229-a06c-e56d791c68b9,48b03055-37da-4085-90cc-411232edfb33,2024-08-21 12:05:15,cecd6916-b029-4aa9-b774-e99279949877,Warner PLC,Mexican,378.15,27.2,405.35,UPI,71.11,Cancelled,74,5,Bangalore,3.1,3,Takeaway
fc84fc9f-a3a0-456a-82dc-351a987ef9c0,7bb69c95-ea1a-4466-b5e3-e5db8e4412e9,2024-01-23 22:51:23,0d3ce4c1-77dc-44bf-93cd-0baf3f5d83b3,Clark Group,Indian,952.97,11.04,964.01,Credit Card,16.53,Completed,15,5,Kolkata,2.9,5,Takeaway
93041dde-354f-4cf6-ac61-dde21bb2cebd,13a04aef-6fbf-4119-82bd-314be735c529,2024-04-18 06:52:28,817d6c12-cd86-400d-abe8-6abd34947824,Hughes-Brown,Indian,902.06,47.58,949.64,Cash,22.18,Cancelled,51,1,Chennai,5,1,Dine-in
e81945f1-261f-4514-8f7f-fbcd43493798,f1a6e886-4e94-488e-b6cb-54043b6f9d89,2024-01-01 20:14:41,574436a2-1152-4deb-924f-86101dc49fac,"Scott, Owen and Todd",Thai,264.21,35.35,299.56,UPI,47.06,Failed,28,1,Kolkata,2.6,2,Takeaway
68e3a372-4114-44ed-8499-d31b9b85a486,a3d35cee-6096-49fa-a1ec-8acce76e4def,2023-10-18 03:25:31,b5605148-3ce0-4295-be90-548c95205e2e,"Gay, Lopez and Moreno",Italian,803.33,44.74,848.07,UPI,46.38,Completed,45,1,Kolkata,3.4,5,Dine-in
692bc6d1-be14-40ac-9e2e-f6f5ef8c6f5d,7f0d1f29-9077-4eb5-b642-b4dd9807cafa,2024-05-11 20:42:36,1735096f-c8a8-4b49-b026-6e8b9bfc3a66,White Inc,Mexican,696.42,22.26,718.68,UPI,6.83,Completed,86,5,Kolkata,2.8,4,Delivery
ef768ae9-8305-4123-97ab-71f2e271dc0d,448e844b-4e97-4a7f-afd0-9969cbc39436,2023-10-28 10:01:30,f44f837b-4449-4044-a038-2b3973648296,Williams-Castro,Mexican,510.47,39.28,549.75,Cash,80.26,Cancelled,89,1,Hyderabad,3,5,Delivery
aaf1918d-0548-411d-863c-90783f6425ee,9cb378ea-b601-4db3-ae04-dac0e0f4d6d8,2024-08-29 04:14:51,46ee0f23-49d9-4f4e-a1bd-100b0fa4abdd,Lin PLC,Indian,338.64,38.1,376.74,Cash,90.06,Cancelled,43,5,Chennai,2.6,3,Dine-in
81d27feb-322a-48a6-9a50-ade820bb76bc,f35ac73f-2f7e-4d75-80e8-d72d92c67927,2024-01-23 05:33:44,8e93e4ab-a39b-43d7-a60b-a29e64e0deb8,Miller Group,Indian,602.44,23.92,626.36,Credit Card,1.15,Completed,81,1,Hyderabad,4.3,6,Delivery
